index_date;car_production
1990-01;52233
1990-02;41228
1990-03;24353
1990-04;23705
1990-05;44062
1990-06;27130
1990-07;32537
1990-08;64831
1990-09;56181
1990-10;60823
1990-11;56113
1990-12;49643
1991-01;46333
1991-02;44841
1991-03;50278
1991-04;29848
1991-05;42862
1991-06;50689
1991-07;64343
1991-08;59727
1991-09;56078
1991-10;61178
1991-11;54214
1991-12;44009
1992-01;45564
1992-02;35670
1992-03;29532
1992-04;59286
1992-05;48504
1992-06;52800
1992-07;54745
1992-08;52790
1992-09;54402
1992-10;58045
1992-11;60724
1992-12;54528
1993-01;45391
1993-02;52852
1993-03;68340
1993-04;66141
1993-05;72945
1993-06;74900
1993-07;76217
1993-08;86505
1993-09;81504
1993-10;79348
1993-11;86964
1993-12;85058
1994-01;76949
1994-02;73365
1994-03;93809
1994-04;77888
1994-05;97046
1994-06;95819
1994-07;87074
1994-08;124940
1994-09;90322
1994-10;102604
1994-11;112675
1994-12;115876
1995-01;85162
1995-02;106347
1995-03;143722
1995-04;109623
1995-05;110796
1995-06;113555
1995-07;108252
1995-08;126164
1995-09;114258
1995-10;121546
1995-11;122878
1995-12;112661
1996-01;92387
1996-02;105129
1996-03;107542
1996-04;103020
1996-05;118411
1996-06;103635
1996-07;124362
1996-08;121240
1996-09;135062
1996-10;133768
1996-11;129053
1996-12;126420
1997-01;123816
1997-02;112550
1997-03;130645
1997-04;144626
1997-05;137537
1997-06;135316
1997-07;141959
1997-08;141165
1997-09;146148
1997-10;148693
1997-11;112484
1997-12;92909
1998-01;100316
1998-02;92375
1998-03;101607
1998-04;109486
1998-05;118436
1998-06;99928
1998-07;103576
1998-08;116702
1998-09;98040
1998-10;87403
1998-11;89552
1998-12;105328
1999-01;73983
1999-02;44579
1999-03;85474
1999-04;106913
1999-05;81458
1999-06;83286
1999-07;95450
1999-08;98557
1999-09;86731
1999-10;65483
1999-11;64201
1999-12;62917
2000-01;69984
2000-02;82262
2000-03;76748
2000-04;91613
2000-05;98154
2000-06;88517
2000-07;97353
2000-08;107994
2000-09;94587
2000-10;102438
2000-11;99997
2000-12;117834
2001-01;95858
2001-02;92482
2001-03;120790
2001-04;108687
2001-05;119188
2001-06;103780
2001-07;107953
2001-08;107488
2001-09;82538
2001-10;95989
2001-11;99826
2001-12;98282
2002-01;88892
2002-02;75704
2002-03;96402
2002-04;109123
2002-05;93805
2002-06;82449
2002-07;96199
2002-08;100218
2002-09;102572
2002-10;109216
2002-11;94638
2002-12;101350
2003-01;94946
2003-02;94160
2003-03;80693
2003-04;85496
2003-05;82212
2003-06;76772
2003-07;87566
2003-08;76417
2003-09;98472
2003-10;115884
2003-11;106573
2003-12;139769
2004-01;87469
2004-02;84154
2004-03;112498
2004-04;89824
2004-05;97442
2004-06;104569
2004-07;108075
2004-08;103498
2004-09;109521
2004-10;108757
2004-11;110275
2004-12;142548
2005-01;83563
2005-02;90749
2005-03;118713
2005-04;109241
2005-05;114257
2005-06;117502
2005-07;110037
2005-08;120663
2005-09;115394
2005-10;110990
2005-11;129176
2005-12;149090
2006-01;107035
2006-02;103476
2006-03;125225
2006-04;104459
2006-05;131494
2006-06;117748
2006-07;134895
2006-08;144285
2006-09;128767
2006-10;141649
2006-11;148720
2006-12;168486
2007-01;123388
2007-02;118806
2007-03;155758
2007-04;144130
2007-05;171197
2007-06;161132
2007-07;175429
2007-08;187880
2007-09;163210
2007-10;194771
2007-11;188839
2007-12;192595
2008-01;169800
2008-02;158768
2008-03;182534
2008-04;205612
2008-05;191462
2008-06;201512
2008-07;224957
2008-08;188215
2008-09;208308
2008-10;181327
2008-11;132548
2008-12;150568
2009-01;158229
2009-02;155473
2009-03;214158
2009-04;184060
2009-05;195720
2009-06;243104
2009-07;226782
2009-08;204789
2009-09;249544
2009-10;231191
2009-11;192826
2009-12;223456
2010-01;159897
2010-02;169205
2010-03;275437
2010-04;208917
2010-05;182948
2010-06;192457
2010-07;226076
2010-08;237957
2010-09;234357
2010-10;228329
2010-11;248432
2010-12;287689
2011-01;180322
2011-02;201898
2011-03;223886
2011-04;211662
2011-05;232573
2011-06;222086
2011-07;222678
2011-08;236490
2011-09;226670
2011-10;203374
2011-11;233395
2011-12;251108
2012-01;196138
2012-02;185117
2012-03;219705
2012-04;188641
2012-05;209736
2012-06;274584
2012-07;280214
2012-08;325722
2012-09;213655
2012-10;249779
2012-11;232473
2012-12;266175
2013-01;230620
2013-02;171454
2013-03;209347
2013-04;245798
2013-05;232001
2013-06;232630
2013-07;250054
2013-08;241681
2013-09;221394
2013-10;238718
2013-11;223029
2013-12;258353
2014-01;255437
2014-02;204155
2014-03;189961
2014-04;234956
2014-05;232623
2014-06;211418
2014-07;234608
2014-08;217040
2014-09;234533
2014-10;242711
2014-11;234777
2014-12;302913
2015-01;206162
2015-02;149828
2015-03;189859
2015-04;179223
2015-05;175618
2015-06;175261
2015-07;186995
2015-08;172630
2015-09;166345
2015-10;161592
2015-11;165963
2015-12;193186
2016-01;131253
2016-02;122734
2016-03;147641
2016-04;132062
2016-05;137429
2016-06;139567
2016-07;146578
2016-08;148967
2016-09;130997
2016-10;132346
2016-11;148675
2016-12;169971
2017-01;121378
2017-02;112374
2017-03;158055
2017-04;131499
2017-05;163284
2017-06;161030
2017-07;151677
2017-08;180881
2017-09;168008
2017-10;166842
2017-11;168888
2017-12;171978
2018-01;149041
2018-02;129782
2018-03;172842
2018-04;178803
2018-05;164415
2018-06;163497
2018-07;176047
2018-08;203896
2018-09;173174
2018-10;208650
2018-11;192120
2018-12;189373
2019-01;163779
2019-02;162508
2019-03;170450
2019-04;189076
2019-05;198756
2019-06;181272
2019-07;195828
2019-08;195905
2019-09;187780
2019-10;204500
2019-11;196737
2019-12;215154
2020-01;154556
2020-02;165109
2020-03;131230
2020-04;39487
2020-05;44133
2020-06;102379
2020-07;134927
2020-08;142019
2020-09;161071
2020-10;168441
2020-11;177561
2020-12;194668
2021-01;130794
2021-02;128091
2021-03;141928
2021-04;127444
2021-05;142662
2021-06;133306
2021-07;123571
2021-08;119801
2021-09;109065
2021-10;119315
