index_date;car_production
2015-01-01;225497.288673191
2015-02-01;183537.291425982
2015-03-01;185098.817144987
2015-04-01;184474.943874789
2015-05-01;176632.102102252
2015-06-01;176171.949741303
2015-07-01;182333.245258599
2015-08-01;160727.914886823
2015-09-01;167265.060237501
2015-10-01;161187.604552531
2015-11-01;158369.41265357
2015-12-01;161275.216657019
2016-01-01;150420.25057109
2016-02-01;155876.186567792
2016-03-01;144066.926496811
2016-04-01;136438.689207144
2016-05-01;138348.400126178
2016-06-01;141741.347387292
2016-07-01;142253.364712333
2016-08-01;137410.033862149
2016-09-01;132184.651499771
2016-10-01;130321.081526619
2016-11-01;140434.555836987
2016-12-01;137720.132218171
2017-01-01;140665.487096378
2017-02-01;143982.35678658
2017-03-01;156465.674663353
2017-04-01;135398.579462348
2017-05-01;164185.386146164
2017-06-01;165164.487720787
2017-07-01;148844.560674288
2017-08-01;170092.579135907
2017-09-01;168834.338817451
2017-10-01;162213.78054402
2017-11-01;158977.055578081
2017-12-01;139233.064118496
2018-01-01;168655.058128725
2018-02-01;159356.162610363
2018-03-01;173670.682842403
2018-04-01;183333.288350127
2018-05-01;164513.672426349
2018-06-01;169173.611412147
2018-07-01;175396.502442404
2018-08-01;195044.594071308
2018-09-01;173552.849771756
2018-10-01;201302.399875682
2018-11-01;180297.04457741
2018-12-01;156223.009543996
2019-01-01;182806.854646966
2019-02-01;189327.283840012
2019-03-01;173405.508173193
2019-04-01;194599.779760872
2019-05-01;199082.890688431
2019-06-01;188069.688900568
2019-07-01;196945.593429671
2019-08-01;189606.708906088
2019-09-01;188000.219596069
2019-10-01;195091.838230398
2019-11-01;182502.078360813
2019-12-01;181675.95299432
2020-01-01;172761.741810947
2020-02-01;188981.033464734
2020-03-01;136299.584517236
2020-04-01;46746.2129262002
2020-05-01;44045.6560792131
2020-06-01;109370.622852278
2020-07-01;136878.836353019
2020-08-01;138934.695475633
2020-09-01;161496.189730428
2020-10-01;157851.455236213
2020-11-01;161634.531367876
2020-12-01;160858.134535672
2021-01-01;147934.315547579
2021-02-01;149064.021405018
2021-03-01;148234.088852922
2021-04-01;136545.723573209
2021-05-01;142846.501244978
2021-06-01;139952.574003554
2021-07-01;125735.753926847
2021-08-01;119219.47429439
2021-09-01;109375.428540641
2021-10-01;108585.421538923
